WTG,lat [deg],lon [deg],Easting [m],Northing [m]
1,52.7732,3.4542,530643,5847141
2,52.7704,3.4711,531781,5846831
3,52.7668,3.4878,532913,5846443
4,52.7632,3.5046,534046,5846046
5,52.7595,3.5213,535178,5845648
6,52.7559,3.538,536310,5845251
7,52.7522,3.5547,537442,5844853
8,52.7486,3.5715,538574,5844456
9,52.7838,3.4645,531325,5848323
10,52.7804,3.4858,532764,5847947
11,52.7583,3.5836,539386,5845540
12,52.7763,3.504,533995,5847503
13,52.7717,3.525,535417,5847006
14,52.7675,3.5444,536734,5846544
15,52.7644,3.564,538057,5846208
16,52.7817,3.5212,535157,5848116
17,52.7898,3.4929,533240,5848998
18,52.7792,3.5405,536460,5847848
19,52.7944,3.4747,532007,5849505
20,52.776,3.5587,537686,5847497
21,52.768,3.5958,540199,5846624
22,52.7732,3.5778,538977,5847203
23,52.7893,3.5107,534438,5848958
24,52.7907,3.5328,535931,5849120
25,52.7884,3.552,537226,5848877
26,52.785,3.5702,538458,5848510
27,52.8002,3.503,533914,5850167
28,52.805,3.4849,532688,5850688
29,52.7776,3.608,541012,5847709
30,52.7829,3.5899,539786,5848282
31,52.7997,3.5225,535228,5850115
32,52.8003,3.5444,536703,5850194
33,52.7977,3.5632,537973,5849912
34,52.7939,3.5816,539214,5849501
35,52.8104,3.5129,534570,5851304
36,52.8156,3.4951,533370,5851870
37,52.7873,3.6202,541824,5848793
38,52.7926,3.602,540597,5849364
39,52.8093,3.5336,535966,5851188
40,52.8099,3.5571,537550,5851268
41,52.806,3.5764,538856,5850843
42,52.802,3.5949,540103,5850415
43,52.8203,3.5224,535207,5852408
44,52.797,3.6324,542637,5849877
45,52.8262,3.5054,534052,5853052
46,52.8182,3.5425,536557,5852186
47,52.8029,3.6151,541467,5850525
48,52.8116,3.5973,540259,5851476
49,52.8164,3.5786,538994,5851998
50,52.8212,3.563,537940,5852534
51,52.8302,3.532,535845,5853514
52,52.8282,3.549,536987,5853305
53,52.8067,3.6446,543449,5850962
54,52.8367,3.5156,534734,5854234
55,52.8128,3.625,542122,5851635
56,52.8181,3.6108,541163,5852207
57,52.8238,3.5942,540042,5852832
58,52.8293,3.5783,538959,5853436
59,52.8348,3.5623,537882,5854037
60,52.84,3.5444,536667,5854612
61,52.8164,3.6568,544262,5852046
62,52.8473,3.5259,535416,5855417
63,52.8216,3.6417,543241,5852615
64,52.8268,3.6266,542221,5853184
65,52.832,3.6115,541200,5853753
66,52.8372,3.5965,540180,5854322
67,52.8423,3.5814,539159,5854892
68,52.8475,3.5663,538139,5855461
69,52.8527,3.5512,537118,5856030
70,52.8579,3.5361,536097,5856599
